0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,May 2021,May 2021,May 2021,0001843634-21-000020,Ford Credit Auto Owner Trust 2021-A,20210531,20210623,0001843634
Payment Date,Payment Date,Payment Date,6/15/2021,6/15/2021,6/15/2021,0001843634-21-000020,Ford Credit Auto Owner Trust 2021-A,20210531,20210623,0001843634
Transaction Month,Transaction Month,Transaction Month,4,4,,0001843634-21-000020,Ford Credit Auto Owner Trust 2021-A,20210531,20210623,0001843634
