0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,December 2022,December 2022,December 2022,0001843634-23-000004,Ford Credit Auto Owner Trust 2021-A,20221231,20230124,0001843634
Payment Date,Payment Date,Payment Date,1/17/2023,1/17/2023,1/17/2023,0001843634-23-000004,Ford Credit Auto Owner Trust 2021-A,20221231,20230124,0001843634
Transaction Month,Transaction Month,Transaction Month,23,23,,0001843634-23-000004,Ford Credit Auto Owner Trust 2021-A,20221231,20230124,0001843634
