0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,August 2022,August 2022,August 2022,0001843634-22-000046,Ford Credit Auto Owner Trust 2021-A,20220831,20220927,0001843634
Payment Date,Payment Date,Payment Date,9/15/2022,9/15/2022,9/15/2022,0001843634-22-000046,Ford Credit Auto Owner Trust 2021-A,20220831,20220927,0001843634
Transaction Month,Transaction Month,Transaction Month,19,19,,0001843634-22-000046,Ford Credit Auto Owner Trust 2021-A,20220831,20220927,0001843634
