0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,December 2021,December 2021,December 2021,0001843634-22-000005,Ford Credit Auto Owner Trust 2021-A,20211231,20220124,0001843634
Payment Date,Payment Date,Payment Date,1/18/2022,1/18/2022,1/18/2022,0001843634-22-000005,Ford Credit Auto Owner Trust 2021-A,20211231,20220124,0001843634
Transaction Month,Transaction Month,Transaction Month,11,11,,0001843634-22-000005,Ford Credit Auto Owner Trust 2021-A,20211231,20220124,0001843634
