0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18782782.21,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,282518.25,,$,282518.25,,$,0.00,,$,0.00,,$,18500263.96,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18500263.96,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18500263.96,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,22400.35,,$,22400.35,,$,0.00,,$,0.00,,$,18477863.61,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,18422738.61,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18422738.61,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,18399714.44,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18399714.44,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,18381509.77,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,18381509.77,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,16636238.58,,$,16636238.58,,$,0.00,,$,0.00,,$,1745271.19,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,1745271.19,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,1745271.19,,$,0.00,,$,0.00,,$,0.00,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Total,Total,Total,,,,$,18782782.21,,,,,,,,,,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,16636238.58,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Total,Total,Total,,,,,,,,,,,,,$,16636238.58,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
