0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,51917329.10,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,1147291.19,,$,1147291.19,,$,0.00,,$,0.00,,$,50770037.91,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,16948.88,,$,16948.88,,$,0.00,,$,0.00,,$,50753089.03,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,64466.83,,$,64466.83,,$,0.00,,$,0.00,,$,50688622.20,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,113765.00,,$,113765.00,,$,0.00,,$,0.00,,$,50574857.20,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,50519732.20,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,50519732.20,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,50496708.03,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,14801992.15,,$,14801992.15,,$,0.00,,$,0.00,,$,35694715.88,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,35676511.21,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,35676511.21,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,150029887.17,,$,35676511.21,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Total,Total,Total,,,,$,51917329.10,,,,,,,,,,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,14801992.15,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,35676511.21,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Total,Total,Total,,,,,,,,,,,,,$,50478503.36,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
