0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,September 2021,September 2021,September 2021,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Payment Date,Payment Date,Payment Date,10/15/2021,10/15/2021,10/15/2021,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Transaction Month,Transaction Month,Transaction Month,8,8,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
