0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,September 2022,September 2022,September 2022,0001843634-22-000051,Ford Credit Auto Owner Trust 2021-A,20220930,20221021,0001843634
Payment Date,Payment Date,Payment Date,10/17/2022,10/17/2022,10/17/2022,0001843634-22-000051,Ford Credit Auto Owner Trust 2021-A,20220930,20221021,0001843634
Transaction Month,Transaction Month,Transaction Month,20,20,,0001843634-22-000051,Ford Credit Auto Owner Trust 2021-A,20220930,20221021,0001843634
