0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,June 2022,June 2022,June 2022,0001843634-22-000037,Ford Credit Auto Owner Trust 2021-A,20220630,20220721,0001843634
Payment Date,Payment Date,Payment Date,7/15/2022,7/15/2022,7/15/2022,0001843634-22-000037,Ford Credit Auto Owner Trust 2021-A,20220630,20220721,0001843634
Transaction Month,Transaction Month,Transaction Month,17,17,,0001843634-22-000037,Ford Credit Auto Owner Trust 2021-A,20220630,20220721,0001843634
