0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,41542496.26,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,1179582.55,,$,1179582.55,,$,0.00,,$,0.00,,$,40362913.71,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,14277.36,,$,14277.36,,$,0.00,,$,0.00,,$,40348636.35,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,49424.57,,$,49424.57,,$,0.00,,$,0.00,,$,40299211.78,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,87219.83,,$,87219.83,,$,0.00,,$,0.00,,$,40211991.95,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,42262.50,,$,42262.50,,$,0.00,,$,0.00,,$,40169729.45,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,40169729.45,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,17651.86,,$,17651.86,,$,0.00,,$,0.00,,$,40152077.59,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,9247500.90,,$,9247500.90,,$,0.00,,$,0.00,,$,30904576.69,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,13956.91,,$,13956.91,,$,0.00,,$,0.00,,$,30890619.78,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,30890619.78,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,195722499.10,,$,30890619.78,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Total,Total,Total,,,,$,41542496.26,,,,,,,,,,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,9247500.90,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,30890619.78,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Total,Total,Total,,,,,,,,,,,,,$,40138120.68,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
