0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,May 2022,May 2022,May 2022,0001843634-22-000030,Ford Credit Auto Owner Trust 2021-A,20220531,20220621,0001843634
Payment Date,Payment Date,Payment Date,6/15/2022,6/15/2022,6/15/2022,0001843634-22-000030,Ford Credit Auto Owner Trust 2021-A,20220531,20220621,0001843634
Transaction Month,Transaction Month,Transaction Month,16,16,,0001843634-22-000030,Ford Credit Auto Owner Trust 2021-A,20220531,20220621,0001843634
