0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,February 2022,February 2022,February 2022,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Payment Date,Payment Date,Payment Date,3/15/2022,3/15/2022,3/15/2022,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Transaction Month,Transaction Month,Transaction Month,13,13,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
