0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,December 2023,December 2023,December 2023,0001843634-24-000004,Ford Credit Auto Owner Trust 2021-A,20231231,20240123,0001843634
Payment Date,Payment Date,Payment Date,1/16/2024,1/16/2024,1/16/2024,0001843634-24-000004,Ford Credit Auto Owner Trust 2021-A,20231231,20240123,0001843634
Transaction Month,Transaction Month,Transaction Month,35,35,,0001843634-24-000004,Ford Credit Auto Owner Trust 2021-A,20231231,20240123,0001843634
