0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,July 2021,July 2021,July 2021,0001843634-21-000030,Ford Credit Auto Owner Trust 2021-A,20210731,20210824,0001843634
Payment Date,Payment Date,Payment Date,8/16/2021,8/16/2021,8/16/2021,0001843634-21-000030,Ford Credit Auto Owner Trust 2021-A,20210731,20210824,0001843634
Transaction Month,Transaction Month,Transaction Month,6,6,,0001843634-21-000030,Ford Credit Auto Owner Trust 2021-A,20210731,20210824,0001843634
