0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,April 2023,April 2023,April 2023,0001843634-23-000024,Ford Credit Auto Owner Trust 2021-A,20230430,20230522,0001843634
Payment Date,Payment Date,Payment Date,5/15/2023,5/15/2023,5/15/2023,0001843634-23-000024,Ford Credit Auto Owner Trust 2021-A,20230430,20230522,0001843634
Transaction Month,Transaction Month,Transaction Month,27,27,,0001843634-23-000024,Ford Credit Auto Owner Trust 2021-A,20230430,20230522,0001843634
