0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,January 2022,January 2022,January 2022,0001843634-22-000009,Ford Credit Auto Owner Trust 2021-A,20220131,20220222,0001843634
Payment Date,Payment Date,Payment Date,2/15/2022,2/15/2022,2/15/2022,0001843634-22-000009,Ford Credit Auto Owner Trust 2021-A,20220131,20220222,0001843634
Transaction Month,Transaction Month,Transaction Month,12,12,,0001843634-22-000009,Ford Credit Auto Owner Trust 2021-A,20220131,20220222,0001843634
