0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,November 2021,November 2021,November 2021,0001843634-21-000051,Ford Credit Auto Owner Trust 2021-A,20211130,20211221,0001843634
Payment Date,Payment Date,Payment Date,12/15/2021,12/15/2021,12/15/2021,0001843634-21-000051,Ford Credit Auto Owner Trust 2021-A,20211130,20211221,0001843634
Transaction Month,Transaction Month,Transaction Month,10,10,,0001843634-21-000051,Ford Credit Auto Owner Trust 2021-A,20211130,20211221,0001843634
