0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,May 2024,May 2024,May 2024,0001843634-24-000028,Ford Credit Auto Owner Trust 2021-A,20240531,20240625,0001843634
Payment Date,Payment Date,Payment Date,6/17/2024,6/17/2024,6/17/2024,0001843634-24-000028,Ford Credit Auto Owner Trust 2021-A,20240531,20240625,0001843634
Transaction Month,Transaction Month,Transaction Month,40,40,,0001843634-24-000028,Ford Credit Auto Owner Trust 2021-A,20240531,20240625,0001843634
