0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,April 2024,April 2024,April 2024,0001843634-24-000023,Ford Credit Auto Owner Trust 2021-A,20240430,20240523,0001843634
Payment Date,Payment Date,Payment Date,5/15/2024,5/15/2024,5/15/2024,0001843634-24-000023,Ford Credit Auto Owner Trust 2021-A,20240430,20240523,0001843634
Transaction Month,Transaction Month,Transaction Month,39,39,,0001843634-24-000023,Ford Credit Auto Owner Trust 2021-A,20240430,20240523,0001843634
