0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,February 2024,February 2024,February 2024,0001843634-24-000015,Ford Credit Auto Owner Trust 2021-A,20240229,20240321,0001843634
Payment Date,Payment Date,Payment Date,3/15/2024,3/15/2024,3/15/2024,0001843634-24-000015,Ford Credit Auto Owner Trust 2021-A,20240229,20240321,0001843634
Transaction Month,Transaction Month,Transaction Month,37,37,,0001843634-24-000015,Ford Credit Auto Owner Trust 2021-A,20240229,20240321,0001843634
