0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,June 2023,June 2023,June 2023,0001843634-23-000032,Ford Credit Auto Owner Trust 2021-A,20230630,20230721,0001843634
Payment Date,Payment Date,Payment Date,7/17/2023,7/17/2023,7/17/2023,0001843634-23-000032,Ford Credit Auto Owner Trust 2021-A,20230630,20230721,0001843634
Transaction Month,Transaction Month,Transaction Month,29,29,,0001843634-23-000032,Ford Credit Auto Owner Trust 2021-A,20230630,20230721,0001843634
