0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,August 2023,August 2023,August 2023,0001843634-23-000040,Ford Credit Auto Owner Trust 2021-A,20230831,20230925,0001843634
Payment Date,Payment Date,Payment Date,9/15/2023,9/15/2023,9/15/2023,0001843634-23-000040,Ford Credit Auto Owner Trust 2021-A,20230831,20230925,0001843634
Transaction Month,Transaction Month,Transaction Month,31,31,,0001843634-23-000040,Ford Credit Auto Owner Trust 2021-A,20230831,20230925,0001843634
