0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,41067686.27,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,934499.32,,$,934499.32,,$,0.00,,$,0.00,,$,40133186.95,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,40133186.95,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,50545.97,,$,50545.97,,$,0.00,,$,0.00,,$,40082640.98,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,113765.00,,$,113765.00,,$,0.00,,$,0.00,,$,39968875.98,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,39913750.98,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,39913750.98,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,39890726.81,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,39890726.81,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,39872522.14,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,39872522.14,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,45153678.33,,$,39872522.14,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Total,Total,Total,,,,$,41067686.27,,,,,,,,,,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,39872522.14,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
Total,Total,Total,,,,,,,,,,,,,$,39872522.14,,0001843634-21-000042,Ford Credit Auto Owner Trust 2021-A,20210930,20211025,0001843634
