0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,July 2023,July 2023,July 2023,0001843634-23-000036,Ford Credit Auto Owner Trust 2021-A,20230731,20230818,0001843634
Payment Date,Payment Date,Payment Date,8/15/2023,8/15/2023,8/15/2023,0001843634-23-000036,Ford Credit Auto Owner Trust 2021-A,20230731,20230818,0001843634
Transaction Month,Transaction Month,Transaction Month,30,30,,0001843634-23-000036,Ford Credit Auto Owner Trust 2021-A,20230731,20230818,0001843634
