0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,October 2021,October 2021,October 2021,0001843634-21-000047,Ford Credit Auto Owner Trust 2021-A,20211031,20211119,0001843634
Payment Date,Payment Date,Payment Date,11/15/2021,11/15/2021,11/15/2021,0001843634-21-000047,Ford Credit Auto Owner Trust 2021-A,20211031,20211119,0001843634
Transaction Month,Transaction Month,Transaction Month,9,9,,0001843634-21-000047,Ford Credit Auto Owner Trust 2021-A,20211031,20211119,0001843634
