0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,April 2022,April 2022,April 2022,0001843634-22-000026,Ford Credit Auto Owner Trust 2021-A,20220430,20220520,0001843634
Payment Date,Payment Date,Payment Date,5/16/2022,5/16/2022,5/16/2022,0001843634-22-000026,Ford Credit Auto Owner Trust 2021-A,20220430,20220520,0001843634
Transaction Month,Transaction Month,Transaction Month,15,15,,0001843634-22-000026,Ford Credit Auto Owner Trust 2021-A,20220430,20220520,0001843634
