0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,March 2021,March 2021,March 2021,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Payment Date,Payment Date,Payment Date,4/15/2021,4/15/2021,4/15/2021,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
Transaction Month,Transaction Month,Transaction Month,2,2,,0001843634-21-000010,Ford Credit Auto Owner Trust 2021-A,20210331,20210423,0001843634
