0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,November 2022,November 2022,November 2022,0001843634-22-000060,Ford Credit Auto Owner Trust 2021-A,20221130,20221220,0001843634
Payment Date,Payment Date,Payment Date,12/15/2022,12/15/2022,12/15/2022,0001843634-22-000060,Ford Credit Auto Owner Trust 2021-A,20221130,20221220,0001843634
Transaction Month,Transaction Month,Transaction Month,22,22,,0001843634-22-000060,Ford Credit Auto Owner Trust 2021-A,20221130,20221220,0001843634
