0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,April 2021,April 2021,April 2021,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Payment Date,Payment Date,Payment Date,5/17/2021,5/17/2021,5/17/2021,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Transaction Month,Transaction Month,Transaction Month,3,3,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
