0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,August 2021,August 2021,August 2021,0001843634-21-000035,Ford Credit Auto Owner Trust 2021-A,20210831,20210928,0001843634
Payment Date,Payment Date,Payment Date,9/15/2021,9/15/2021,9/15/2021,0001843634-21-000035,Ford Credit Auto Owner Trust 2021-A,20210831,20210928,0001843634
Transaction Month,Transaction Month,Transaction Month,7,7,,0001843634-21-000035,Ford Credit Auto Owner Trust 2021-A,20210831,20210928,0001843634
