0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,January 2023,January 2023,January 2023,0001843634-23-000008,Ford Credit Auto Owner Trust 2021-A,20230131,20230222,0001843634
Payment Date,Payment Date,Payment Date,2/15/2023,2/15/2023,2/15/2023,0001843634-23-000008,Ford Credit Auto Owner Trust 2021-A,20230131,20230222,0001843634
Transaction Month,Transaction Month,Transaction Month,24,24,,0001843634-23-000008,Ford Credit Auto Owner Trust 2021-A,20230131,20230222,0001843634
