0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,May 2023,May 2023,May 2023,0001843634-23-000028,Ford Credit Auto Owner Trust 2021-A,20230531,20230621,0001843634
Payment Date,Payment Date,Payment Date,6/15/2023,6/15/2023,6/15/2023,0001843634-23-000028,Ford Credit Auto Owner Trust 2021-A,20230531,20230621,0001843634
Transaction Month,Transaction Month,Transaction Month,28,28,,0001843634-23-000028,Ford Credit Auto Owner Trust 2021-A,20230531,20230621,0001843634
