0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,35599188.71,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,776092.46,,$,776092.46,,$,0.00,,$,0.00,,$,34823096.25,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,34823096.25,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,24557.09,,$,24557.09,,$,0.00,,$,0.00,,$,34798539.16,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,113765.00,,$,113765.00,,$,0.00,,$,0.00,,$,34684774.16,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,34629649.16,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,34629649.16,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,34606624.99,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,34606624.99,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,34588420.32,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,34588420.32,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,30794006.27,,$,30794006.27,,$,0.00,,$,0.00,,$,3794414.05,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,3794414.05,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,3794414.05,,$,0.00,,$,0.00,,$,0.00,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Total,Total,Total,,,,$,35599188.71,,,,,,,,,,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,30794006.27,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
Total,Total,Total,,,,,,,,,,,,,$,30794006.27,,0001843634-22-000014,Ford Credit Auto Owner Trust 2021-A,20220228,20220322,0001843634
