0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,March 2023,March 2023,March 2023,0001843634-23-000020,Ford Credit Auto Owner Trust 2021-A,20230331,20230420,0001843634
Payment Date,Payment Date,Payment Date,4/17/2023,4/17/2023,4/17/2023,0001843634-23-000020,Ford Credit Auto Owner Trust 2021-A,20230331,20230420,0001843634
Transaction Month,Transaction Month,Transaction Month,26,26,,0001843634-23-000020,Ford Credit Auto Owner Trust 2021-A,20230331,20230420,0001843634
