0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,November 2023,November 2023,November 2023,0001843634-23-000052,Ford Credit Auto Owner Trust 2021-A,20231130,20231220,0001843634
Payment Date,Payment Date,Payment Date,12/15/2023,12/15/2023,12/15/2023,0001843634-23-000052,Ford Credit Auto Owner Trust 2021-A,20231130,20231220,0001843634
Transaction Month,Transaction Month,Transaction Month,34,34,,0001843634-23-000052,Ford Credit Auto Owner Trust 2021-A,20231130,20231220,0001843634
