0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,February 2021,February 2021,February 2021,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Payment Date,Payment Date,Payment Date,3/15/2021,3/15/2021,3/15/2021,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
Transaction Month,Transaction Month,Transaction Month,1,1,,0001843634-21-000005,Ford Credit Auto Owner Trust 2021-A,20210228,20210322,0001843634
