0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,45147126.00,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,1106610.80,,$,1106610.80,,$,0.00,,$,0.00,,$,44040515.20,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,12137.72,,$,12137.72,,$,0.00,,$,0.00,,$,44028377.48,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,64466.83,,$,64466.83,,$,0.00,,$,0.00,,$,43963910.65,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,113765.00,,$,113765.00,,$,0.00,,$,0.00,,$,43850145.65,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,43795020.65,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,43795020.65,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,43771996.48,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,3686886.59,,$,3686886.59,,$,0.00,,$,0.00,,$,40085109.89,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,40066905.22,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,40066905.22,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,110666489.37,,$,40066905.22,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,0.00,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Total,Total,Total,,,,$,45147126.00,,,,,,,,,,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,3686886.59,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,40066905.22,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
Total,Total,Total,,,,,,,,,,,,,$,43753791.81,,0001843634-21-000015,Ford Credit Auto Owner Trust 2021-A,20210430,20210524,0001843634
