0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,March 2022,March 2022,March 2022,0001843634-22-000021,Ford Credit Auto Owner Trust 2021-A,20220331,20220420,0001843634
Payment Date,Payment Date,Payment Date,4/15/2022,4/15/2022,4/15/2022,0001843634-22-000021,Ford Credit Auto Owner Trust 2021-A,20220331,20220420,0001843634
Transaction Month,Transaction Month,Transaction Month,14,14,,0001843634-22-000021,Ford Credit Auto Owner Trust 2021-A,20220331,20220420,0001843634
