0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,September 2023,September 2023,September 2023,0001843634-23-000044,Ford Credit Auto Owner Trust 2021-A,20230930,20231023,0001843634
Payment Date,Payment Date,Payment Date,10/16/2023,10/16/2023,10/16/2023,0001843634-23-000044,Ford Credit Auto Owner Trust 2021-A,20230930,20231023,0001843634
Transaction Month,Transaction Month,Transaction Month,32,32,,0001843634-23-000044,Ford Credit Auto Owner Trust 2021-A,20230930,20231023,0001843634
