0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,October 2022,October 2022,October 2022,0001843634-22-000056,Ford Credit Auto Owner Trust 2021-A,20221031,20221121,0001843634
Payment Date,Payment Date,Payment Date,11/15/2022,11/15/2022,11/15/2022,0001843634-22-000056,Ford Credit Auto Owner Trust 2021-A,20221031,20221121,0001843634
Transaction Month,Transaction Month,Transaction Month,21,21,,0001843634-22-000056,Ford Credit Auto Owner Trust 2021-A,20221031,20221121,0001843634
