0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,January 2024,January 2024,January 2024,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Payment Date,Payment Date,Payment Date,2/15/2024,2/15/2024,2/15/2024,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
Transaction Month,Transaction Month,Transaction Month,36,36,,0001843634-24-000008,Ford Credit Auto Owner Trust 2021-A,20240131,20240222,0001843634
