0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,July 2022,July 2022,July 2022,0001843634-22-000041,Ford Credit Auto Owner Trust 2021-A,20220731,20220822,0001843634
Payment Date,Payment Date,Payment Date,8/15/2022,8/15/2022,8/15/2022,0001843634-22-000041,Ford Credit Auto Owner Trust 2021-A,20220731,20220822,0001843634
Transaction Month,Transaction Month,Transaction Month,18,18,,0001843634-22-000041,Ford Credit Auto Owner Trust 2021-A,20220731,20220822,0001843634
