0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,March 2024,March 2024,March 2024,0001843634-24-000019,Ford Credit Auto Owner Trust 2021-A,20240331,20240422,0001843634
Payment Date,Payment Date,Payment Date,4/15/2024,4/15/2024,4/15/2024,0001843634-24-000019,Ford Credit Auto Owner Trust 2021-A,20240331,20240422,0001843634
Transaction Month,Transaction Month,Transaction Month,38,38,,0001843634-24-000019,Ford Credit Auto Owner Trust 2021-A,20240331,20240422,0001843634
