0,1,2,3,4,5,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,February 2023,February 2023,February 2023,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Payment Date,Payment Date,Payment Date,3/15/2023,3/15/2023,3/15/2023,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Transaction Month,Transaction Month,Transaction Month,25,25,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
