cik|date|link
1843634|2021-03-22|edgar/data/1843634/0001843634-21-000005.txt
1843634|2021-04-23|edgar/data/1843634/0001843634-21-000010.txt
1843634|2021-05-24|edgar/data/1843634/0001843634-21-000015.txt
1843634|2021-06-23|edgar/data/1843634/0001843634-21-000020.txt
1843634|2021-07-22|edgar/data/1843634/0001843634-21-000025.txt
1843634|2021-08-24|edgar/data/1843634/0001843634-21-000030.txt
1843634|2021-09-28|edgar/data/1843634/0001843634-21-000035.txt
1843634|2021-10-25|edgar/data/1843634/0001843634-21-000042.txt
1843634|2021-11-19|edgar/data/1843634/0001843634-21-000047.txt
1843634|2021-12-21|edgar/data/1843634/0001843634-21-000051.txt
1843634|2022-01-24|edgar/data/1843634/0001843634-22-000005.txt
1843634|2022-02-22|edgar/data/1843634/0001843634-22-000009.txt
1843634|2022-03-22|edgar/data/1843634/0001843634-22-000014.txt
1843634|2022-04-20|edgar/data/1843634/0001843634-22-000021.txt
1843634|2022-05-20|edgar/data/1843634/0001843634-22-000026.txt
1843634|2022-06-21|edgar/data/1843634/0001843634-22-000030.txt
1843634|2022-06-21|edgar/data/1843634/0001843634-22-000032.txt
1843634|2022-07-21|edgar/data/1843634/0001843634-22-000037.txt
1843634|2022-08-22|edgar/data/1843634/0001843634-22-000041.txt
1843634|2022-09-27|edgar/data/1843634/0001843634-22-000046.txt
1843634|2022-10-21|edgar/data/1843634/0001843634-22-000051.txt
1843634|2022-11-21|edgar/data/1843634/0001843634-22-000056.txt
1843634|2022-12-20|edgar/data/1843634/0001843634-22-000060.txt
1843634|2023-01-24|edgar/data/1843634/0001843634-23-000004.txt
1843634|2023-02-22|edgar/data/1843634/0001843634-23-000008.txt
1843634|2023-03-21|edgar/data/1843634/0001843634-23-000014.txt
1843634|2023-04-20|edgar/data/1843634/0001843634-23-000020.txt
1843634|2023-05-22|edgar/data/1843634/0001843634-23-000024.txt
1843634|2023-06-21|edgar/data/1843634/0001843634-23-000028.txt
1843634|2023-07-21|edgar/data/1843634/0001843634-23-000032.txt
1843634|2023-08-18|edgar/data/1843634/0001843634-23-000036.txt
1843634|2023-09-25|edgar/data/1843634/0001843634-23-000040.txt
1843634|2023-10-23|edgar/data/1843634/0001843634-23-000044.txt
1843634|2023-11-21|edgar/data/1843634/0001843634-23-000048.txt
1843634|2023-12-20|edgar/data/1843634/0001843634-23-000052.txt
1843634|2024-01-23|edgar/data/1843634/0001843634-24-000004.txt
1843634|2024-02-22|edgar/data/1843634/0001843634-24-000008.txt
1843634|2024-03-21|edgar/data/1843634/0001843634-24-000015.txt
1843634|2024-04-22|edgar/data/1843634/0001843634-24-000019.txt
1843634|2024-05-23|edgar/data/1843634/0001843634-24-000023.txt
1843634|2024-06-25|edgar/data/1843634/0001843634-24-000028.txt
