0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,04/01/20-04/30/20,04/01/20-04/30/20,04/01/20-04/30/20,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
Determination Date,,5/11/2020,5/11/2020,5/11/2020,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
Distribution Date,,5/15/2020,5/15/2020,5/15/2020,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
