0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
,e. Class A-4 Note Balance,$,103820000.00,,$,103820000.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,f. Class B Note Balance,$,33840000.00,,$,33840000.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,g. Class C Note Balance,$,30070000.00,,$,30070000.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,h. Class D Note Balance,$,24070000.00,,$,24070000.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,i. Note Balance (sum a - h),$,1500000000.00,,$,1455317553.27,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
9.,Pool Factors,,,,,,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,a. Class A-1 Note Pool Factor,1.0000000,1.0000000,,0.8490458,0.8490458,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,b. Class A-2a Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,c. Class A-2b Floating Rate Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,d. Class A-3 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,e. Class A-4 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,f. Class B Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,g. Class C Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,h. Class D Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,i. Note Pool Factor,1.0000000,1.0000000,,0.9702117,0.9702117,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
10.,Overcollateralization Target Amount,,,,$,3759375.01,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
11.,Current overcollateralization amount (Pool Balance - Note Balance),,,,$,3759375.01,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
12.,Weighted Average Coupon,,,,8.66,8.66,%,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
13.,Weighted Average Original Term,months,months,,66.44,66.44,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
14.,Weighted Average Remaining Term,months,months,,60.93,60.93,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
15.,1-Month LIBOR for the interest period ending 11/14/2019,,,,1.83098,1.83098,%,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
16.,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,,,,2.13098,2.13098,%,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
Collections,Collections,,,,,,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
17.,Finance Charges:,,,,,,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,a. Collections allocable to Finance Charge,,,,$,10518265.38,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,b. Liquidation Proceeds allocable to Finance Charge,,,,$,0.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,c. Purchase Amount allocable to Finance Charge,,,,$,0.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,d. Available Finance Charge Collections (sum a - c),,,,$,10518265.38,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
18.,Principal:,,,,,,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,a. Collections allocable to Principal,,,,$,44598338.81,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,b. Liquidation Proceeds allocable to Principal,,,,$,40355.91,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,c. Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
,d. Available Principal Collections (sum a - c),,,,$,44638694.72,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
19.,Total Finance Charge and Principal Collections (17d + 18d),,,,$,55156960.10,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
20.,Interest Income from Collection Account,,,,$,19760.47,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
21.,Simple Interest Advances,,,,$,0.00,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
22.,Available Collections (Ln19 + 20 + 21),,,,$,55176720.57,,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
