0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,01/01/20-01/31/20,01/01/20-01/31/20,01/01/20-01/31/20,0001788503-20-000011,CarMax Auto Owner Trust 2019-4,20200131,20200218,0001788503
Determination Date,,2/10/2020,2/10/2020,2/10/2020,0001788503-20-000011,CarMax Auto Owner Trust 2019-4,20200131,20200218,0001788503
Distribution Date,,2/18/2020,2/18/2020,2/18/2020,0001788503-20-000011,CarMax Auto Owner Trust 2019-4,20200131,20200218,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000011,CarMax Auto Owner Trust 2019-4,20200131,20200218,0001788503
