0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,,,,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,08/01/20-08/31/20,0001788503-20-000048,CarMax Auto Owner Trust 2019-4,20200831,20200915,0001788503
Determination Date,Determination Date,Determination Date,,,,9/10/2020,9/10/2020,9/10/2020,9/10/2020,9/10/2020,9/10/2020,9/10/2020,9/10/2020,9/10/2020,0001788503-20-000048,CarMax Auto Owner Trust 2019-4,20200831,20200915,0001788503
Distribution Date,Distribution Date,Distribution Date,,,,9/15/2020,9/15/2020,9/15/2020,9/15/2020,9/15/2020,9/15/2020,9/15/2020,9/15/2020,9/15/2020,0001788503-20-000048,CarMax Auto Owner Trust 2019-4,20200831,20200915,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000048,CarMax Auto Owner Trust 2019-4,20200831,20200915,0001788503
