0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,06/01/20-06/30/20,06/01/20-06/30/20,06/01/20-06/30/20,0001788503-20-000038,CarMax Auto Owner Trust 2019-4,20200630,20200715,0001788503
Determination Date,,7/9/2020,7/9/2020,7/9/2020,0001788503-20-000038,CarMax Auto Owner Trust 2019-4,20200630,20200715,0001788503
Distribution Date,,7/15/2020,7/15/2020,7/15/2020,0001788503-20-000038,CarMax Auto Owner Trust 2019-4,20200630,20200715,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000038,CarMax Auto Owner Trust 2019-4,20200630,20200715,0001788503
