0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,10/01/19-10/31/19,10/01/19-10/31/19,10/01/19-10/31/19,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
Determination Date,,11/11/2019,11/11/2019,11/11/2019,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
Distribution Date,,11/15/2019,11/15/2019,11/15/2019,0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-19-000005,CarMax Auto Owner Trust 2019-4,20191031,20191115,0001788503
