0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,,,,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,11/01/22-11/30/22,0001788503-22-000064,CarMax Auto Owner Trust 2019-4,20221130,20221215,0001788503
Determination Date,Determination Date,Determination Date,,,,12/9/2022,12/9/2022,12/9/2022,12/9/2022,12/9/2022,12/9/2022,12/9/2022,12/9/2022,12/9/2022,0001788503-22-000064,CarMax Auto Owner Trust 2019-4,20221130,20221215,0001788503
Distribution Date,Distribution Date,Distribution Date,,,,12/15/2022,12/15/2022,12/15/2022,12/15/2022,12/15/2022,12/15/2022,12/15/2022,12/15/2022,12/15/2022,0001788503-22-000064,CarMax Auto Owner Trust 2019-4,20221130,20221215,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-22-000064,CarMax Auto Owner Trust 2019-4,20221130,20221215,0001788503
