0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,,,,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,08/01/23-08/31/23,0001788503-23-000047,CarMax Auto Owner Trust 2019-4,20230831,20230915,0001788503
Determination Date,Determination Date,Determination Date,,,,9/11/2023,9/11/2023,9/11/2023,9/11/2023,9/11/2023,9/11/2023,9/11/2023,9/11/2023,9/11/2023,0001788503-23-000047,CarMax Auto Owner Trust 2019-4,20230831,20230915,0001788503
Distribution Date,Distribution Date,Distribution Date,,,,9/15/2023,9/15/2023,9/15/2023,9/15/2023,9/15/2023,9/15/2023,9/15/2023,9/15/2023,9/15/2023,0001788503-23-000047,CarMax Auto Owner Trust 2019-4,20230831,20230915,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-23-000047,CarMax Auto Owner Trust 2019-4,20230831,20230915,0001788503
