0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
Pool Balance,Pool Balance,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
1.,Pool Balance on the close of the last day of the preceding Collection Period,,,,$,1215691692.07,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
2.,Collections allocable to Principal,,,,$,35646479.52,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
3.,Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
4.,Defaulted Receivables,,,,$,1818648.22,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
5.,Pool Balance on the close of the last day of the related Collection Period,,,,$,1178226564.33,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,(Ln1 - Ln2 - Ln3 - Ln4),,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
6.,Total number of Receivables outstanding on the close of the last day of the related Collection Period,,,,75183,75183,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
7.,Initial Pool Balance,,,,$,1503750003.50,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,,Beginning of Period,Beginning of Period,Beginning of Period,End of Period,End of Period,End of Period,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
8.,Note Balances,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,a. Class A-1 Note Balance,$,7932317.06,,$,0.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,b. Class A-2a Note Balance,$,468700000.00,,$,443004755.22,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,c. Class A-2b Floating Rate Note Balance,$,70000000.00,,$,66162434.10,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,d. Class A-3 Note Balance,$,473500000.00,,$,473500000.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,e. Class A-4 Note Balance,$,103820000.00,,$,103820000.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,f. Class B Note Balance,$,33840000.00,,$,33840000.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,g. Class C Note Balance,$,30070000.00,,$,30070000.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,h. Class D Note Balance,$,24070000.00,,$,24070000.00,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,i. Note Balance (sum a - h),$,1211932317.06,,$,1174467189.32,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
9.,Pool Factors,,,,,,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
,a. Class A-1 Note Pool Factor,0.0267984,0.0267984,,0.0000000,0.0000000,,0001788503-20-000033,CarMax Auto Owner Trust 2019-4,20200531,20200615,0001788503
