0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,11/01/19-11/30/19,11/01/19-11/30/19,11/01/19-11/30/19,0001788503-19-000010,CarMax Auto Owner Trust 2019-4,20191130,20191216,0001788503
Determination Date,,12/9/2019,12/9/2019,12/9/2019,0001788503-19-000010,CarMax Auto Owner Trust 2019-4,20191130,20191216,0001788503
Distribution Date,,12/16/2019,12/16/2019,12/16/2019,0001788503-19-000010,CarMax Auto Owner Trust 2019-4,20191130,20191216,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-19-000010,CarMax Auto Owner Trust 2019-4,20191130,20191216,0001788503
