0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,,,,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,08/01/22-08/31/22,0001788503-22-000049,CarMax Auto Owner Trust 2019-4,20220831,20220915,0001788503
Determination Date,Determination Date,Determination Date,,,,9/9/2022,9/9/2022,9/9/2022,9/9/2022,9/9/2022,9/9/2022,9/9/2022,9/9/2022,9/9/2022,0001788503-22-000049,CarMax Auto Owner Trust 2019-4,20220831,20220915,0001788503
Distribution Date,Distribution Date,Distribution Date,,,,9/15/2022,9/15/2022,9/15/2022,9/15/2022,9/15/2022,9/15/2022,9/15/2022,9/15/2022,9/15/2022,0001788503-22-000049,CarMax Auto Owner Trust 2019-4,20220831,20220915,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-22-000049,CarMax Auto Owner Trust 2019-4,20220831,20220915,0001788503
