0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,accession_number,company_name,report_period,filed_date,cik
Collection Period,Collection Period,Collection Period,,,,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,12/01/20-12/31/20,0001788503-21-000005,CarMax Auto Owner Trust 2019-4,20201231,20210115,0001788503
Determination Date,Determination Date,Determination Date,,,,1/11/2021,1/11/2021,1/11/2021,1/11/2021,1/11/2021,1/11/2021,1/11/2021,1/11/2021,1/11/2021,0001788503-21-000005,CarMax Auto Owner Trust 2019-4,20201231,20210115,0001788503
Distribution Date,Distribution Date,Distribution Date,,,,1/15/2021,1/15/2021,1/15/2021,1/15/2021,1/15/2021,1/15/2021,1/15/2021,1/15/2021,1/15/2021,0001788503-21-000005,CarMax Auto Owner Trust 2019-4,20201231,20210115,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-21-000005,CarMax Auto Owner Trust 2019-4,20201231,20210115,0001788503
