0,1,4,5,accession_number,company_name,report_period,filed_date,cik
32.,Secondary Principal Distributable Amount,$,0.0,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
33.,Class C Noteholder Interest Amount,,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,a. Class C Monthly Interest,$,65151.67,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,b. Additional Note Interest related to Class C Monthly Interest,$,0.0,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,c. Interest Due on Additional Note Interest related to Class C Monthly Interest,$,0.0,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,d. Total Class C Note Interest (sum a - c),$,65151.67,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
34.,Tertiary Principal Distributable Amount,$,13049229.05,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
35.,Class D Noteholder Interest Amount,,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,a. Class D Monthly Interest,$,56163.33,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,b. Additional Note Interest related to Class D Monthly Interest,$,0.0,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,c. Interest Due on Additional Note Interest related to Class D Monthly Interest,$,0.0,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,d. Total Class D Note Interest (sum a - c),$,56163.33,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
