0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
,e. Class A-4 Note Balance,$,103820000.00,,$,103820000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,f. Class B Note Balance,$,33840000.00,,$,33840000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,g. Class C Note Balance,$,30070000.00,,$,30070000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,h. Class D Note Balance,$,24070000.00,,$,24070000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,i. Note Balance (sum a - h),$,1247534767.20,,$,1211932317.06,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
9.,Pool Factors,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,a. Class A-1 Note Pool Factor,0.1470769,0.1470769,,0.0267984,0.0267984,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,b. Class A-2a Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,c. Class A-2b Floating Rate Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,d. Class A-3 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,e. Class A-4 Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,f. Class B Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,g. Class C Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,h. Class D Note Pool Factor,1.0000000,1.0000000,,1.0000000,1.0000000,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,i. Note Pool Factor,0.8316898,0.8316898,,0.8079549,0.8079549,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
10.,Overcollateralization Target Amount,,,,$,3759375.01,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
11.,Current overcollateralization amount (Pool Balance - Note Balance),,,,$,3759375.01,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
12.,Weighted Average Coupon,,,,8.73,8.73,%,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
13.,Weighted Average Original Term,months,months,,66.68,66.68,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
14.,Weighted Average Remaining Term,months,months,,56.07,56.07,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
15.,1-Month LIBOR for the interest period ending 11/14/2019,,,,0.81400,0.81400,%,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
16.,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,,,,1.11400,1.11400,%,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
Collections,Collections,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
17.,Finance Charges:,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,a. Collections allocable to Finance Charge,,,,$,8549795.86,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,b. Liquidation Proceeds allocable to Finance Charge,,,,$,1820.22,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,c. Purchase Amount allocable to Finance Charge,,,,$,0.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,d. Available Finance Charge Collections (sum a - c),,,,$,8551616.08,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
18.,Principal:,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,a. Collections allocable to Principal,,,,$,34251075.66,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,b. Liquidation Proceeds allocable to Principal,,,,$,341385.20,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,c. Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,d. Available Principal Collections (sum a - c),,,,$,34592460.86,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
19.,Total Finance Charge and Principal Collections (17d + 18d),,,,$,43144076.94,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
20.,Interest Income from Collection Account,,,,$,4879.18,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
21.,Simple Interest Advances,,,,$,0.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
22.,Available Collections (Ln19 + 20 + 21),,,,$,43148956.12,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
