0,1,2,3,4,5,6,7,8,12,13,14,accession_number,company_name,report_period,filed_date,cik
,,,i. Note Pool Factor,i. Note Pool Factor,i. Note Pool Factor,0.6558785,0.6558785,,0.6339775,0.6339775,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
10.,10.,10.,Overcollateralization Target Amount,Overcollateralization Target Amount,Overcollateralization Target Amount,,,,$,3759375.01,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
11.,11.,11.,Current overcollateralization amount (Pool Balance - Note Balance),Current overcollateralization amount (Pool Balance - Note Balance),Current overcollateralization amount (Pool Balance - Note Balance),,,,$,3759375.01,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
12.,12.,12.,Weighted Average Coupon,Weighted Average Coupon,Weighted Average Coupon,,,,8.79,8.79,%,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
13.,13.,13.,Weighted Average Original Term,Weighted Average Original Term,Weighted Average Original Term,months,months,months,66.90,66.90,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
14.,14.,14.,Weighted Average Remaining Term,Weighted Average Remaining Term,Weighted Average Remaining Term,months,months,months,50.01,50.01,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
15.,15.,15.,1-Month LIBOR for the interest period ending 11/14/2019,1-Month LIBOR for the interest period ending 11/14/2019,1-Month LIBOR for the interest period ending 11/14/2019,,,,0.14088,0.14088,%,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
16.,16.,16.,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,,,,0.44088,0.44088,%,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
Collections,Collections,Collections,Collections,Collections,Collections,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
17.,17.,17.,Finance Charges:,Finance Charges:,Finance Charges:,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,a. Collections allocable to Finance Charge,a. Collections allocable to Finance Charge,a. Collections allocable to Finance Charge,,,,$,7233061.47,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,b. Liquidation Proceeds allocable to Finance Charge,b. Liquidation Proceeds allocable to Finance Charge,b. Liquidation Proceeds allocable to Finance Charge,,,,$,9573.85,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,c. Purchase Amount allocable to Finance Charge,c. Purchase Amount allocable to Finance Charge,c. Purchase Amount allocable to Finance Charge,,,,$,0.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,d. Available Finance Charge Collections (sum a - c),d. Available Finance Charge Collections (sum a - c),d. Available Finance Charge Collections (sum a - c),,,,$,7242635.32,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
18.,18.,18.,Principal:,Principal:,Principal:,,,,,,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,a. Collections allocable to Principal,a. Collections allocable to Principal,a. Collections allocable to Principal,,,,$,31863073.01,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,b. Liquidation Proceeds allocable to Principal,b. Liquidation Proceeds allocable to Principal,b. Liquidation Proceeds allocable to Principal,,,,$,667839.36,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,c. Purchase Amount allocable to Principal,c. Purchase Amount allocable to Principal,c. Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
,,,d. Available Principal Collections (sum a - c),d. Available Principal Collections (sum a - c),d. Available Principal Collections (sum a - c),,,,$,32530912.37,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
19.,19.,19.,Total Finance Charge and Principal Collections (17d + 18d),Total Finance Charge and Principal Collections (17d + 18d),Total Finance Charge and Principal Collections (17d + 18d),,,,$,39773547.69,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
20.,20.,20.,Interest Income from Collection Account,Interest Income from Collection Account,Interest Income from Collection Account,,,,$,1171.78,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
21.,21.,21.,Simple Interest Advances,Simple Interest Advances,Simple Interest Advances,,,,$,0.00,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
22.,22.,22.,Available Collections (Ln19 + 20 + 21),Available Collections (Ln19 + 20 + 21),Available Collections (Ln19 + 20 + 21),,,,$,39774719.47,,0001788503-20-000065,CarMax Auto Owner Trust 2019-4,20201130,20201215,0001788503
