0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,12/01/19-12/31/19,12/01/19-12/31/19,12/01/19-12/31/19,0001788503-20-000005,CarMax Auto Owner Trust 2019-4,20191231,20200115,0001788503
Determination Date,,1/9/2020,1/9/2020,1/9/2020,0001788503-20-000005,CarMax Auto Owner Trust 2019-4,20191231,20200115,0001788503
Distribution Date,,1/15/2020,1/15/2020,1/15/2020,0001788503-20-000005,CarMax Auto Owner Trust 2019-4,20191231,20200115,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000005,CarMax Auto Owner Trust 2019-4,20191231,20200115,0001788503
