0,1,2,3,4,5,12,13,14,accession_number,company_name,report_period,filed_date,cik
,,,i. Class A-2b Monthly Interest,i. Class A-2b Monthly Interest,i. Class A-2b Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,j. Additional Note Interest related to Class A-2b Monthly Interest,j. Additional Note Interest related to Class A-2b Monthly Interest,j. Additional Note Interest related to Class A-2b Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,k. Interest Due on Additional Note Interest related to Class A-2b Monthly Interest,k. Interest Due on Additional Note Interest related to Class A-2b Monthly Interest,k. Interest Due on Additional Note Interest related to Class A-2b Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,l. Total Class A-2b Note Interest (sum i - k),l. Total Class A-2b Note Interest (sum i - k),l. Total Class A-2b Note Interest (sum i - k),$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,m. Class A-3 Monthly Interest,m. Class A-3 Monthly Interest,m. Class A-3 Monthly Interest,$,144918.11,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,n. Additional Note Interest related to Class A-3 Monthly Interest,n. Additional Note Interest related to Class A-3 Monthly Interest,n. Additional Note Interest related to Class A-3 Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,o. Interest Due on Additional Note Interest related to Class A-3 Monthly Interest,o. Interest Due on Additional Note Interest related to Class A-3 Monthly Interest,o. Interest Due on Additional Note Interest related to Class A-3 Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,p. Total Class A-3 Note Interest (sum m - o),p. Total Class A-3 Note Interest (sum m - o),p. Total Class A-3 Note Interest (sum m - o),144918.11,144918.11,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,q. Class A-4 Monthly Interest,q. Class A-4 Monthly Interest,q. Class A-4 Monthly Interest,$,184280.5,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,r. Additional Note Interest related to Class A-4 Monthly Interest,r. Additional Note Interest related to Class A-4 Monthly Interest,r. Additional Note Interest related to Class A-4 Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,r. Additional Note Interest related to Class A-4 Monthly Interest,r. Additional Note Interest related to Class A-4 Monthly Interest,r. Additional Note Interest related to Class A-4 Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,t. Total Class A-4 Note Interest (sum q - s),t. Total Class A-4 Note Interest (sum q - s),t. Total Class A-4 Note Interest (sum q - s),$,184280.5,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
30.,30.,30.,Priority Principal Distributable Amount,Priority Principal Distributable Amount,Priority Principal Distributable Amount,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
31.,31.,31.,Class B Noteholder Interest Amount,Class B Noteholder Interest Amount,Class B Noteholder Interest Amount,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,a. Class B Monthly Interest,a. Class B Monthly Interest,a. Class B Monthly Interest,$,65424.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,b. Additional Note Interest related to Class B Monthly Interest,b. Additional Note Interest related to Class B Monthly Interest,b. Additional Note Interest related to Class B Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,c. Interest Due on Additional Note Interest related to Class B Monthly Interest,c. Interest Due on Additional Note Interest related to Class B Monthly Interest,c. Interest Due on Additional Note Interest related to Class B Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,d. Total Class B Note Interest (sum a - c),d. Total Class B Note Interest (sum a - c),d. Total Class B Note Interest (sum a - c),$,65424.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
32.,32.,32.,Secondary Principal Distributable Amount,Secondary Principal Distributable Amount,Secondary Principal Distributable Amount,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
33.,33.,33.,Class C Noteholder Interest Amount,Class C Noteholder Interest Amount,Class C Noteholder Interest Amount,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,a. Class C Monthly Interest,a. Class C Monthly Interest,a. Class C Monthly Interest,$,65151.67,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,b. Additional Note Interest related to Class C Monthly Interest,b. Additional Note Interest related to Class C Monthly Interest,b. Additional Note Interest related to Class C Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,c. Interest Due on Additional Note Interest related to Class C Monthly Interest,c. Interest Due on Additional Note Interest related to Class C Monthly Interest,c. Interest Due on Additional Note Interest related to Class C Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,d. Total Class C Note Interest (sum a - c),d. Total Class C Note Interest (sum a - c),d. Total Class C Note Interest (sum a - c),$,65151.67,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
34.,34.,34.,Tertiary Principal Distributable Amount,Tertiary Principal Distributable Amount,Tertiary Principal Distributable Amount,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
35.,35.,35.,Class D Noteholder Interest Amount,Class D Noteholder Interest Amount,Class D Noteholder Interest Amount,,,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,a. Class D Monthly Interest,a. Class D Monthly Interest,a. Class D Monthly Interest,$,56163.33,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,b. Additional Note Interest related to Class D Monthly Interest,b. Additional Note Interest related to Class D Monthly Interest,b. Additional Note Interest related to Class D Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,c. Interest Due on Additional Note Interest related to Class D Monthly Interest,c. Interest Due on Additional Note Interest related to Class D Monthly Interest,c. Interest Due on Additional Note Interest related to Class D Monthly Interest,$,0.0,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
,,,d. Total Class D Note Interest (sum a - c),d. Total Class D Note Interest (sum a - c),d. Total Class D Note Interest (sum a - c),$,56163.33,,0001788503-23-000015,CarMax Auto Owner Trust 2019-4,20230228,20230315,0001788503
