0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
Pool Balance,Pool Balance,,,,,,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
1.,Pool Balance on the close of the last day of the preceding Collection Period,,,,$,1333130583.03,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
2.,Collections allocable to Principal,,,,$,38934725.15,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
3.,Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
4.,Defaulted Receivables,,,,$,1943878.91,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
5.,Pool Balance on the close of the last day of the related Collection Period,,,,$,1292251978.97,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,(Ln1 - Ln2 - Ln3 - Ln4),,,,,,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
6.,Total number of Receivables outstanding on the close of the last day of the related Collection Period,,,,81004,81004,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
7.,Initial Pool Balance,,,,$,1503750003.50,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,,Beginning of Period,Beginning of Period,Beginning of Period,End of Period,End of Period,End of Period,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
8.,Note Balances,,,,,,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,a. Class A-1 Note Balance,$,125371208.02,,$,84492603.96,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,b. Class A-2a Note Balance,$,468700000.00,,$,468700000.00,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
,c. Class A-2b Floating Rate Note Balance,$,70000000.00,,$,70000000.00,,0001788503-20-000016,CarMax Auto Owner Trust 2019-4,20200229,20200316,0001788503
