0,1,2,3,4,accession_number,company_name,report_period,filed_date,cik
Collection Period,,03/01/20-03/31/20,03/01/20-03/31/20,03/01/20-03/31/20,0001788503-20-000021,CarMax Auto Owner Trust 2019-4,20200331,20200415,0001788503
Determination Date,,4/10/2020,4/10/2020,4/10/2020,0001788503-20-000021,CarMax Auto Owner Trust 2019-4,20200331,20200415,0001788503
Distribution Date,,4/15/2020,4/15/2020,4/15/2020,0001788503-20-000021,CarMax Auto Owner Trust 2019-4,20200331,20200415,0001788503
"Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.","Additional information, including defined terms, can be found in the prospectus on the SEC's EDGAR system (http://www.sec.gov) under File No. 333-228379-04.",0001788503-20-000021,CarMax Auto Owner Trust 2019-4,20200331,20200415,0001788503
